current_rank,change_rank,show,open,close,episodes,rating,votes
1,0,True Detective,2014,,30,8.9,633000
2,3,Griselda,2024,2024,6,7.3,19000
3,1,Masters of the Air,2024,2024,9,8.0,8600
4,-1,Fargo,2014,2024,51,8.9,413000
5,5,Percy Jackson and the Olympians,2023,,9,7.2,27000
6,44,Feud,2017,,16,8.4,23000
7,2,Hazbin Hotel,2019,,10,7.8,14000
8,197,Mr. & Mrs. Smith,2024,,8,6.8,12000
9,-7,Reacher,2022,,17,8.1,196000
10,1,Yellowstone,2018,,53,8.7,209000
11,-5,The Bear,2022,,19,8.6,194000
12,-5,Fool Me Once,2024,2024,8,6.8,43000
13,19,Expats,2023,2024,6,5.9,1900
14,3,Game of Thrones,2011,2019,73,9.2,2300
15,-7,Ted,2024,2024,7,8.0,16000
16,-4,Boy Swallows Universe,2024,2024,7,8.1,12000
17,-2,Loudermilk,2017,2020,30,7.9,13000
18,-4,Succession,2018,2023,39,8.9,261000
19,-3,Death and Other Details,2024,,10,7.0,3300
20,-1,The Sopranos,1999,2007,86,9.2,460000
21,0,The Boys,2019,,32,8.7,630000
22,1,Suits,2011,2019,134,8.4,469000
23,-10,Avatar: The Last Airbender,2024,,8,,
24,1,Grey's Anatomy,2005,,421,7.6,337000
25,2,Breaking Bad,2008,2013,62,9.5,2100
26,5,The Walking Dead,2010,2022,177,8.1,1100
27,-7,The Brothers Sun,2024,2024,8,7.6,17000
28,-2,Shameless,2011,2021,134,8.5,278000
29,8,Law & Order: Special Victims Unit,1999,,543,8.1,121000
30,6,Young Sheldon,2017,2024,141,7.6,94000
31,4,The Office,2005,2013,188,9.0,695000
32,-8,Doctor Who,2005,,196,8.6,244000
33,6,The Rookie,2018,,100,8.0,65000
34,26,Band of Brothers,2001,2001,10,9.4,516000
35,-6,Slow Horses,2022,,30,8.1,64000
36,4,Supernatural,2005,2020,327,8.4,477000
37,416,Trigger Point,2022,,12,6.5,7300
38,-5,For All Mankind,2019,,40,8.1,65000
39,17,House of the Dragon,2022,,20,8.4,360000
40,-22,Echo,2023,2024,5,6.1,29000
41,-7,The Crown,2016,2023,60,8.6,252000
42,-4,Rick and Morty,2013,,74,9.1,592000
43,1,Criminal Minds,2005,,335,8.1,216000
44,1,Peaky Blinders,2013,2022,36,8.8,633000
45,-2,Ted Lasso,2020,2023,34,8.8,335000
46,7,The Big Bang Theory,2007,2019,280,8.2,858000
47,5,Stranger Things,2016,2025,42,8.7,1300
48,1076,Alexander: The Making of a God,2024,,6,5.2,3300
49,10,Modern Family,2009,2020,250,8.5,475000
50,-4,Monsieur Spade,2024,,6,7.2,1800
51,34,Halo,2022,,17,7.2,75000
52,3,Black Mirror,2011,,28,8.7,630000
53,-2,Friends,1994,2004,234,8.9,1100
54,-12,The White Lotus,2021,2025,14,8.0,198000
55,-6,Criminal Record,2024,,8,7.2,2700
56,70,Curb Your Enthusiasm,2000,2024,120,8.8,141000
57,-10,The Last of Us,2023,,10,8.8,496000
58,-36,American Nightmare,2024,2024,3,7.5,12000
59,-29,Beef,2023,2023,10,8.0,126000
60,-6,Northern Exposure,1990,1995,110,8.4,20000
61,-13,The Artful Dodger,2023,,8,8.0,7700
62,-1,NCIS,2003,,459,7.8,160000
63,-5,Better Call Saul,2015,2022,63,9.0,632000
64,23,The Tourist,2022,2024,12,7.0,23000
65,9,The Curse,2023,,10,7.1,8700
66,0,Sexy Beast,2024,,8,5.6,47000
67,-26,Monarch: Legacy of Monsters,2023,,10,7.0,32000
68,1,Vikings,2013,2020,93,8.5,574000
69,7,Chicago Fire,2012,,244,8.0,63000
70,-7,Euphoria,2019,,19,8.3,232000
71,18,Severance,2022,,19,8.7,190000
72,35,Masters of the Universe: Revolution,2024,2024,5,7.7,1900
73,-5,Attack on Titan,2013,2023,98,9.1,495000
74,-7,This Is Us,2016,2022,106,8.7,156000
75,4,The Wire,2002,2008,60,9.3,371000
76,-11,American Horror Story,2011,,132,8.0,340000
77,-7,It's Always Sunny in Philadelphia,2005,,172,8.8,248000
78,-1,Midsomer Murders,1997,,140,7.9,39000
79,-1,House,2004,2012,176,8.7,502000
80,-23,Only Murders in the Building,2021,,40,8.1,152000
81,-10,Solo Leveling,2024,,12,8.4,6600
82,2,Bones,2005,2017,245,7.8,174000
83,32,The Mandalorian,2019,,25,8.7,578000
84,-3,One Piece,1999,,1104,9.0,222000
85,-10,Law & Order,1990,,493,7.8,43000
86,74,Shogun,2024,,10,,
87,6,The X-Files,1993,2018,217,8.6,246000
88,12,Outlander,2014,,92,8.4,177000
89,7,The Witcher,2019,,25,8.0,563000
90,2,1883,2021,2022,10,8.7,111000
91,8,1923,2022,2023,9,8.3,50000
92,-1,You,2018,2024,41,7.7,294000
93,-10,Jujutsu Kaisen,2020,,48,8.6,105000
94,0,Blue Eye Samurai,2023,2023,9,8.8,54000
95,6,Lost,2004,2010,121,8.3,588000
96,8,Seinfeld,1989,1998,173,8.9,347000
97,28,The Blacklist,2013,2023,218,7.9,276000
98,-25,The Traitors,2023,,23,7.6,3000
99,-11,Silo,2023,,20,8.1,110000
100,3,The Morning Show,2019,,31,8.2,127000
