,id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
525,1339318629427515394,Eibhilin Manning,Belgium,"#maskup 😷, mom 🇮🇪🇪🇺Brussels | Global health, sdgs, ageing, innovation | climate change, renewables | work in progress, equality, on hiatus",2009-03-30 10:06:29,814,3057,8545,False,2020-12-16 21:16:59,Germany to start with corona vaccination on *27 December* if the vaccine is authorised already before Christmas by… https://t.co/5igtAMv8OZ,,Twitter for iPhone,0,0,False
2340,1346466138247503873,Ruth M,"Northern Ireland, United Kingdom",Married @jen_cossy 👭🏻| Mama to our baby boy 👩‍👩‍👦 | Nurse Clinical Lead | Personal Tweets. #havegoodthoughts,2011-04-25 15:16:53,54,796,3255,False,2021-01-05 14:38:38,"Why are we applying emotion to this? #PfizerBioNTech based on their best evidence, do not support extending time be… https://t.co/xoqJMV6TPy",['PfizerBioNTech'],Twitter for iPhone,0,2,False
2940,1347607972466319363,Lynsey Grice,,"❤❤❤ Very Proud Continuity of Carer Midwife at George Eliot Maternity, Nuneaton ❤❤❤

Also love to cook and bake, plus the odd craft or two!",2013-12-13 00:06:42,748,1293,6309,False,2021-01-08 18:15:52,I've had my #CovidVaccine thank you @nhsuhcw for a very efficient service today! #COVID19 #PfizerBioNTech https://t.co/5aoF4LNEDe,"['CovidVaccine', 'COVID19', 'PfizerBioNTech']",Twitter for Android,1,20,False
3235,1351620509931360258,Nic Paul Enache,,💪🏻 🏞️,2018-06-18 10:53:27,29393,29168,76349,False,2021-01-19 20:00:16,Whoever gets the #PfizerBioNTech or #Moderna #vaccines is a reptilian 🧟‍♂️,"['PfizerBioNTech', 'Moderna', 'vaccines']",Twitter for Android,0,8,False
2669,1347494058529271808,Anthony Hodgkinson 💙,Derbyshire,"Clinical Operations Manager//Paramedic in Derbyshire.

Official account holder for @EMASNHSTrust. 

All tweets my own.",2019-08-28 14:28:28,701,981,1412,False,2021-01-08 10:43:13,"#COVID19 #PfizerBioNTech #CovidVaccine received this morning! 💉🦠

Needless to say, I'll still be making sure I foll… https://t.co/tkzo1WpVrg","['COVID19', 'PfizerBioNTech', 'CovidVaccine']",Twitter for Android,0,12,False
7904,1383954121607172098,Yves,"Québec, Canada","Démocratie, justice & équité. 30 ans d'aéronefs pour travail et plaisir. Approche bio-psychosociale. Information, aviation, cultures & Cyber sécurité.☘️⚜️☮️✈️",2011-08-02 14:31:10,2304,3989,109227,False,2021-04-19 01:22:29,@fdastous @CTVNews Lets get through this #together asap. 👊  #vaccination #AstraZeneca #Moderns #PfizerBioNTech https://t.co/jqUOPK3Nkf,"['together', 'vaccination', 'AstraZeneca', 'Moderns', 'PfizerBioNTech']",Twitter for Android,0,0,False
9249,1416435603219091465,Ghemon,,"Come Ghemon, poche parole.",2021-04-04 17:44:40,18,55,54,False,2021-07-17 16:32:18,"All of you who do not want to get vaccinated, I wish the worst of the worst.

#novax #Pfizer #PfizerVaccine… https://t.co/BYkpstfKHH","['novax', 'Pfizer', 'PfizerVaccine']",Twitter for iPhone,0,0,False
9267,1416101192250318848,Nicole Barry,,"she/her; med student @MUNMed; BSc (Hons, Psychology) @MountAllison, MA (Psychology, Behavioural Neuroscience) @BrockUniversity; dog mom",2014-07-03 14:20:28,244,440,840,False,2021-07-16 18:23:28,i finally got my second dose of #PfizerBiontech last week (yay!!!). the nurse knew i was a med student so showed me… https://t.co/PkPUDmgqeS,['PfizerBiontech'],Twitter Web App,0,7,False
6316,1365742939683627013,JJ,,,2021-01-09 15:18:44,0,25,23,False,2021-02-27 19:17:45,Updated vaccine delivery schedule for Germany shows it will receive more vaccines in March than in Jan+Feb combined… https://t.co/gGoMD0sUu3,,Twitter Web App,0,0,False
8603,1397186572861181960,The Poll Lady,India,"Opinion Polls | Twitter EVM | Digital Ballot | Vote on Politics, Worldview, Food, Sports & Spirituality.  🇮🇳",2010-01-15 17:50:11,11188,920,10705,False,2021-05-25 13:43:32,Whoever is promoting Pfizer loves dollar. #PfizerBioNTech,['PfizerBioNTech'],Twitter for Android,4,56,False
